"HC7"	"HC6"
"SLC35A4"	21	22
"CD14"	7	6
"NDUFA2"	265	213
"TMCO6"	6	18
"IK"	247	191
"WDR55"	22	41
"DND1"	0	1
"HARS"	76	86
"HARS2"	10	11
"ZMAT2"	85	95
"PCDHA7"	0	0
"PCDHA10"	0	1
"PCDHAC1"	0	0
"PCDHB2"	5	1
"PCDHB3"	1	2
"AC244517.1"	0	0
"PCDHB4"	2	0
"PCDHB5"	1	0
"PCDHB6"	0	0
"PCDHB7"	0	0
"PCDHB8"	0	0
"PCDHB16"	0	2
"PCDHB9"	0	0
"PCDHB10"	0	0
"PCDHB11"	0	4
"PCDHB12"	0	0
"PCDHB13"	0	0
"PCDHB14"	0	2
"PCDHB15"	0	0
"TAF7"	215	233
"AC005618.1"	0	1
"PCDHGA1"	0	0
"PCDHGA2"	1	0
"PCDHGA3"	0	0
"PCDHGA4"	0	0
"PCDHGB2"	0	0
"PCDHGA5"	1	0
"PCDHGB3"	0	0
"PCDHGA6"	0	1
"PCDHGA7"	1	0
"PCDHGB4"	0	0
"PCDHGA8"	0	0
"PCDHGB5"	1	2
"PCDHGA9"	0	0
"PCDHGB6"	4	1
"PCDHGA10"	14	18
"PCDHGB7"	1	0
"PCDHGA11"	0	1
"PCDHGA12"	1	1
"PCDHGC3"	5	5
"DIAPH1"	84	55
"AC008781.2"	0	0
"AC008781.1"	0	0
"HDAC3"	96	93
"RELL2"	0	4
"FCHSD1"	5	2
"ARAP3"	0	0
"AC005753.1"	1	0
"PCDH1"	1	1
"DELE1"	23	24
"PCDH12"	0	0
"RNF14"	33	25
"GNPDA1"	37	36
"NDFIP1"	147	149
"SPRY4"	1	0
"FGF1"	0	0
"ARHGAP26"	8	3
"NR3C1"	144	162
"YIPF5"	62	54
"KCTD16"	0	0
"PRELID2"	19	19
"SH3RF2"	36	19
"PLAC8L1"	0	0
"LARS"	139	106
"AC091959.3"	0	1
"RBM27"	12	11
"TCERG1"	64	78
"PPP2R2B"	1	2
"STK32A"	0	0
"DPYSL3"	15	1
"JAKMIP2"	2	1
"SPINK1"	0	0
"C5orf46"	0	1
"AC011352.1"	0	0
"SPINK5"	206	197
"SPINK6"	0	0
"AC091948.1"	1	0
"FBXO38"	13	12
"ADRB2"	529	261
"SH3TC2"	4	1
"ABLIM3"	0	0
"AFAP1L1"	2	4
"GRPEL2"	6	11
"PCYOX1L"	3	5
"IL17B"	0	0
"CARMN"	0	5
"AC131025.2"	0	0
"CSNK1A1"	534	433
"ARHGEF37"	34	34
"PPARGC1B"	15	11
"PDE6A"	0	1
"SLC26A2"	14	8
"TIGD6"	5	4
"HMGXB3"	38	26
"CSF1R"	0	1
"PDGFRB"	4	2
"CDX1"	0	0
"CAMK2A"	1	1
"ARSI"	7	5
"TCOF1"	42	38
"CD74"	19	19
"RPS14"	13664	10509
"NDST1-AS1"	0	0
"NDST1"	14	5
"SYNPO"	3	1
"MYOZ3"	2	1
"RBM22"	69	86
"DCTN4"	19	20
"SMIM3"	1	4
"IRGM"	0	0
"ZNF300"	9	6
"GPX3"	2	5
"TNIP1"	26	34
"ANXA6"	8	9
"CCDC69"	0	0
"GM2A"	23	34
"SLC36A1"	5	3
"FAT2"	67	43
"AC011337.1"	0	0
"AC011374.1"	2	1
"SPARC"	141	88
"CLMAT3"	0	0
"AC011374.2"	0	0
"ATOX1"	137	74
"AC091982.3"	0	0
"G3BP1"	227	190
"GRIA1"	0	0
"FAM114A2"	18	12
"MFAP3"	3	2
"GALNT10"	6	9
"SAP30L-AS1"	0	1
"SAP30L"	33	30
"HAND1"	1	0
"LARP1"	85	61
"FAXDC2"	1	3
"CNOT8"	24	43
"GEMIN5"	20	24
"MRPL22"	144	127
"SGCD"	1	0
"PPP1R2B"	0	0
"TIMD4"	0	0
"HAVCR2"	0	0
"MED7"	30	36
"ITK"	1	2
"CYFIP2"	0	0
"AC008676.1"	0	0
"ADAM19"	2	0
"NIPAL4"	10	15
"THG1L"	45	32
"LSM11"	5	6
"CLINT1"	115	95
"EBF1"	5	0
"LINC02202"	0	0
"RNF145"	103	59
"UBLCP1"	53	47
"TTC1"	101	104
"PWWP2A"	75	76
"CCNJL"	0	1
"C1QTNF2"	5	10
"ZBED8"	6	3
"SLU7"	84	92
"PTTG1"	776	613
"MIR3142HG"	0	1
"ATP10B"	1	0
"GABRB2"	0	0
"CCNG1"	62	84
"NUDCD2"	189	186
"HMMR"	127	117
"MAT2B"	28	29
"TENM2"	19	13
"AC008637.1"	0	1
"WWC1"	4	8
"RARS"	73	81
"FBLL1"	0	0
"PANK3"	28	22
"AC011365.2"	0	0
"SLIT3"	11	0
"AC011365.1"	0	0
"AC011389.1"	0	0
"SPDL1"	43	15
"DOCK2"	0	1
"FOXI1"	0	0
"C5orf58"	0	0
"LCP2"	0	0
"KCNIP1"	4	0
"KCNMB1"	2	0
"AC027306.1"	0	0
"GABRP"	0	0
"RANBP17"	0	0
"NPM1"	2189	2065
"FGF18"	19	4
"FBXW11"	36	32
"STK10"	2	0
"UBTD2"	24	18
"SH3PXD2B"	18	7
"NEURL1B"	43	32
"DUSP1"	2042	2015
"ERGIC1"	33	41
"AC008429.1"	1	1
"RPL26L1"	146	105
"ATP6V0E1"	314	294
"CREBRF"	41	39
"AC008378.1"	1	4
"BNIP1"	13	19
"NKX2-5"	0	0
"STC2"	1	0
"BOD1"	99	105
"CPEB4"	30	21
"MSX2"	40	17
"DRD1"	0	0
"SFXN1"	23	39
"HRH2"	3	0
"THOC3"	45	60
"FAM153B"	1	0
"AC139491.7"	0	0
"SIMC1"	12	16
"KIAA1191"	43	33
"ARL10"	4	9
"NOP16"	107	69
"HIGD2A"	422	362
"CLTB"	725	562
"FAF2"	42	42
"RNF44"	36	21
"CDHR2"	0	0
"GPRIN1"	0	0
"TSPAN17"	9	15
"UNC5A"	0	0
"HK3"	1	0
"UIMC1"	35	31
"ZNF346"	9	10
"FGFR4"	1	0
"NSD1"	73	95
"RAB24"	7	4
"MXD3"	62	60
"PRELID1"	367	336
"LMAN2"	217	195
"RGS14"	120	105
"SLC34A1"	0	0
"PFN3"	2	0
"F12"	160	94
"GRK6"	80	78
"PRR7-AS1"	3	1
"PRR7"	97	92
"DBN1"	8	2
"PDLIM7"	35	20
"DOK3"	1	1
"DDX41"	34	58
"FAM193B"	13	17
"AC139795.3"	3	4
"TMED9"	154	216
"B4GALT7"	29	25
"AC139795.2"	2	1
"FAM153A"	1	1
"AC140125.2"	0	0
"AC106795.2"	0	2
"AC106795.5"	0	0
"N4BP3"	8	9
"RMND5B"	31	29
"NHP2"	330	243
"HNRNPAB"	735	428
"PHYKPL"	11	25
"COL23A1"	0	0
"CLK4"	53	34
"ZNF354A"	22	17
"ZNF354B"	8	13
"ZFP2"	3	0
"ZNF454"	1	0
"ZNF879"	0	5
"ZNF354C"	2	3
"ADAMTS2"	0	2
"RUFY1"	47	51
"AC136604.2"	0	0
"HNRNPH1"	660	505
"AC136604.3"	1	1
"CANX"	316	291
"MAML1"	12	6
"LTC4S"	9	17
"MGAT4B"	71	81
"SQSTM1"	403	256
"MRNIP"	52	30
"AC008393.1"	22	7
"TBC1D9B"	70	63
"RNF130"	28	27
"MAPK9"	39	38
"AC008610.1"	0	0
"GFPT2"	4	0
"AC034213.1"	2	0
"CNOT6"	20	16
"SCGB3A1"	0	0
"FLT4"	0	0
"MGAT1"	87	49
"LINC00847"	8	6
"ZFP62"	36	33
"BTNL9"	1	4
"LINC01962"	0	0
"AC008443.5"	5	2
"TRIM7"	114	104
"AC008443.6"	0	0
"TRIM41"	21	22
"RACK1"	5297	4841
"TRIM52"	18	18
"AC138035.1"	0	0
"DUSP22"	37	41
"IRF4"	7	10
"EXOC2"	13	16
"HUS1B"	1	0
"AL357054.4"	1	1
"FOXQ1"	259	345
"AL034346.1"	0	0
"FOXF2"	0	0
"AL512329.2"	0	1
"FOXC1"	18	21
"GMDS"	17	15
"GMDS-DT"	5	4
"AL031768.1"	0	0
"MYLK4"	0	1
"WRNIP1"	55	46
"SERPINB1"	88	66
"SERPINB9P1"	0	0
"SERPINB9"	2	0
"SERPINB6"	16	17
"LINC01011"	1	0
"NQO2"	94	78
"AL133351.1"	1	0
"RIPK1"	50	23
"AL031963.3"	2	5
"BPHL"	49	36
"AL031963.1"	1	0
"TUBB2A"	673	227
"TUBB2B"	2	1
"PSMG4"	121	96
"SLC22A23"	19	11
"PXDC1"	66	18
"AL391422.3"	2	2
"FAM50B"	30	30
"PRPF4B"	270	198
"ECI2"	89	94
"AL034376.1"	0	0
"CDYL"	79	38
"AL356747.1"	0	0
"RPP40"	38	30
"AL359643.3"	1	1
"PPP1R3G"	1	0
"LYRM4"	50	44
"FARS2"	25	25
"AL021328.1"	5	3
"AL022097.1"	0	0
"NRN1"	10	0
"F13A1"	3	0
"LY86-AS1"	1	0
"LY86"	0	0
"AL031123.2"	7	12
"AL031123.1"	0	1
"RREB1"	37	54
"SSR1"	81	90
"CAGE1"	0	1
"RIOK1"	61	51
"AL031058.1"	31	39
"DSP"	2946	1701
"SNRNP48"	19	26
"BMP6"	0	0
"TXNDC5"	0	1
"BLOC1S5"	24	28
"EEF1E1"	104	82
"SLC35B3"	19	20
"TFAP2A"	207	260
"AL138885.3"	4	3
"TFAP2A-AS1"	6	8
"GCNT2"	10	18
"C6orf52"	3	8
"PAK1IP1"	78	80
"TMEM14C"	284	285
"AL024498.1"	0	1
"TMEM14B"	243	252
"MAK"	0	4
"AL357497.1"	1	0
"SYCP2L"	2	0
"ELOVL2"	0	0
"SMIM13"	53	51
"ERVFRD-1"	0	0
"NEDD9"	10	12
"TMEM170B"	1	0
"ADTRP"	8	1
"AL022724.1"	0	0
"AL157373.2"	5	0
"HIVEP1"	72	22
"EDN1"	82	129
"PHACTR1"	6	7
"AL008729.1"	0	0
"TBC1D7"	30	30
"AL008729.2"	1	1
"GFOD1"	18	12
"SIRT5"	13	23
"AL441883.1"	3	12
"NOL7"	310	210
"RANBP9"	48	46
"MCUR1"	84	109
"AL023583.1"	0	1
"CD83"	58	33
"AL136162.1"	0	0
"JARID2"	48	28
"JARID2-AS1"	0	1
"DTNBP1"	32	33
"MYLIP"	156	57
"GMPR"	10	9
"ATXN1"	56	46
"AL137003.1"	1	0
"AL137003.2"	3	4
"RBM24"	0	0
"CAP2"	2	4
"FAM8A1"	10	16
"NUP153"	41	21
"AL138724.1"	6	6
"KIF13A"	119	109
"NHLRC1"	5	10
"TPMT"	37	47
"KDM1B"	21	18
"DEK"	688	603
"RNF144B"	94	15
"MIR548A1HG"	0	0
"AL022068.1"	2	0
"ID4"	283	275
"MBOAT1"	4	5
"E2F3"	10	3
"CDKAL1"	22	15
"AL512380.2"	0	0
"SOX4"	214	114
"CASC15"	2	2
"NBAT1"	0	0
"DCDC2"	0	0
"MRS2"	26	36
"GPLD1"	0	0
"ALDH5A1"	6	5
"TDP2"	19	31
"ACOT13"	107	75
"AL031775.1"	5	0
"C6orf62"	159	139
"AL031775.2"	2	0
"AL133264.2"	0	0
"GMNN"	131	119
"RIPOR2"	0	2
"CARMIL1"	15	22
"TRIM38"	47	28
"U91328.1"	5	1
"U91328.3"	0	0
"HIST1H1A"	56	67
"HIST1H3A"	2	0
"HIST1H4A"	1	2
"HIST1H4B"	0	0
"HIST1H3B"	10	9
"HIST1H2AB"	0	0
"HIST1H1C"	92	119
"HFE"	1	4
"HIST1H4C"	1507	640
"HIST1H2BC"	6	2
"HIST1H2AC"	19	43
"HIST1H1E"	83	71
"HIST1H2BD"	6	15
"AL353759.1"	0	3
"HIST1H2BE"	1	3
"HIST1H4D"	1	0
"AL031777.3"	0	27
"HIST1H2BF"	1	1
"HIST1H4E"	0	1
"HIST1H2BG"	5	21
"HIST1H2AE"	7	6
"HIST1H3E"	0	1
"HIST1H1D"	30	60
"HIST1H4F"	0	0
"HIST1H3F"	5	2
"HIST1H2BH"	5	12
"HIST1H3G"	12	6
"HIST1H2BI"	0	1
"HIST1H4H"	6	2
"BTN3A2"	46	78
"BTN2A2"	14	11
"BTN3A1"	8	18
"BTN3A3"	6	21
"BTN2A1"	15	25
"HCG11"	22	24
"HMGN4"	5	6
"ABT1"	87	90
"AL513548.3"	0	0
"ZNF322"	21	22
"AL513548.1"	2	3
"LINC00240"	2	3
"AL021807.1"	0	4
"HIST1H2BJ"	20	46
"HIST1H2AG"	6	20
"HIST1H4I"	0	0
"HIST1H2BK"	0	1
"HIST1H2AH"	9	11
"PRSS16"	10	11
"ZNF391"	2	5
"AL031118.1"	0	0
"ZNF184"	13	15
"HIST1H3H"	3	8
"HIST1H2BN"	7	23
"HIST1H2AK"	5	2
"HIST1H2AL"	2	4
"HIST1H1B"	25	50
"HIST1H3I"	2	1
"HIST1H2AM"	2	2
"AL121944.1"	21	12
"ZNF165"	18	2
"ZSCAN16-AS1"	31	22
"ZSCAN16"	1	12
"AL358933.1"	0	0
"ZKSCAN8"	5	9
"ZSCAN9"	6	3
"ZKSCAN4"	4	5
"NKAPL"	4	1
"ZSCAN26"	13	18
"PGBD1"	2	1
"ZSCAN31"	6	11
"ZKSCAN3"	2	0
"ZSCAN12"	2	3
"ZSCAN23"	0	1
"ZBED9"	0	0
"HCG14"	0	0
"TRIM27"	36	45
"LINC01556"	0	0
"HCG15"	1	0
"AL662791.1"	0	0
"ZNF311"	4	2
"MAS1L"	0	0
"UBD"	0	0
"GABBR1"	17	7
"HLA-F"	128	154
"AL645939.4"	0	0
"HLA-G"	3	4
"HLA-A"	2538	1664
"ZNRD1"	94	62
"PPP1R11"	49	50
"RNF39"	29	15
"TRIM31"	1	0
"TRIM31-AS1"	0	0
"TRIM26"	38	44
"HCG17"	0	0
"HCG18"	39	34
"TRIM39"	11	10
"RPP21"	19	18
"HLA-E"	693	651
"LINC02569"	0	1
"GNL1"	75	70
"PRR3"	14	27
"ABCF1"	135	97
"PPP1R10"	479	146
"MRPS18B"	97	130
"ATAT1"	13	11
"C6orf136"	16	22
"DHX16"	18	25
"PPP1R18"	58	52
"NRM"	34	48
"MDC1"	26	20
"TUBB"	1084	1170
"AL662797.1"	0	0
"FLOT1"	32	49
"IER3-AS1"	0	0
"IER3"	1737	1045
"HCG20"	1	0
"LINC00243"	2	2
"LINC02570"	4	6
"DDR1"	113	128
"GTF2H4"	0	1
"VARS2"	13	10
"SFTA2"	0	0
"C6orf15"	0	0
"PSORS1C1"	14	5
"CDSN"	0	0
"PSORS1C2"	0	0
"CCHCR1"	46	41
"TCF19"	25	63
"POU5F1"	3	1
"AL662844.4"	2	16
"HCG27"	5	2
"HLA-C"	1516	1272
"HLA-B"	2752	3891
"AL645933.2"	1	0
"MICA"	21	26
"LINC01149"	1	0
"MICB"	1	0
"DDX39B"	63	66
"ATP6V1G2"	0	2
"NFKBIL1"	50	50
"LTA"	0	2
"TNF"	25	5
"LTB"	3	0
"LST1"	0	0
"NCR3"	1	0
"AIF1"	2	1
"PRRC2A"	41	43
"BAG6"	70	73
"APOM"	21	26
"C6orf47"	35	46
"GPANK1"	38	37
"CSNK2B"	337	294
"LY6G5B"	1	2
"LY6G5C"	2	4
"ABHD16A"	2	3
"LY6G6F-LY6G6D"	0	1
"MPIG6B"	1	2
"LY6G6C"	27	26
"DDAH2"	100	60
"CLIC1"	1014	779
"MSH5"	0	2
"SAPCD1-AS1"	0	0
"VWA7"	0	0
"VARS"	38	33
"LSM2"	153	172
"HSPA1L"	3	1
"HSPA1A"	3480	5510
"HSPA1B"	756	1846
"C6orf48"	139	116
"NEU1"	69	53
"SLC44A4"	1	0
"EHMT2"	41	37
"C2"	1	1
"ZBTB12"	0	1
"C2-AS1"	2	0
"CFB"	2	2
"NELFE"	153	128
"SKIV2L"	16	17
"DXO"	8	17
"STK19"	55	51
"CYP21A2"	0	0
"TNXB"	10	0
"ATF6B"	64	75
"FKBPL"	35	32
"PRRT1"	3	2
"AL662884.4"	0	1
"PPT2"	0	2
"PPT2-EGFL8"	2	0
"EGFL8"	2	1
"AGPAT1"	28	18
"RNF5"	100	89
"AGER"	5	2
"PBX2"	37	47
"GPSM3"	1	1
"NOTCH4"	3	15
"AL662796.1"	2	4
"HLA-DRA"	14	39
"HLA-DRB5"	8	3
"HLA-DRB1"	45	12
"HLA-DQA1"	5	6
"HLA-DQB1"	30	1
"HLA-DQA2"	0	0
"HLA-DQB2"	0	0
"HLA-DOB"	1	1
"TAP2"	49	40
"PSMB8"	290	347
"PSMB8-AS1"	21	26
"PSMB9"	195	249
"TAP1"	113	125
"HLA-DMB"	3	1
"HLA-DMA"	4	5
"BRD2"	517	311
"HLA-DOA"	0	0
"HLA-DPA1"	18	12
"HLA-DPB1"	13	15
"COL11A2"	1	0
"RXRB"	28	42
"SLC39A7"	38	32
"HSD17B8"	97	82
"RING1"	73	72
"AL645940.1"	6	4
"HCG25"	3	2
"VPS52"	20	16
"RPS18"	20255	16250
"B3GALT4"	26	23
"WDR46"	82	57
"PFDN6"	129	88
"RGL2"	65	56
"TAPBP"	98	97
"ZBTB22"	34	36
"DAXX"	38	51
"KIFC1"	46	83
"PHF1"	57	37
"CUTA"	368	393
"SYNGAP1"	9	6
"SYNGAP1-AS1"	0	0
"BAK1"	13	16
"ITPR3"	29	22
"UQCC2"	159	116
"LEMD2"	30	33
"LINC01016"	1	0
"HMGA1"	201	202
"SMIM29"	85	66
"NUDT3"	27	28
"RPS10-NUDT3"	0	0
"RPS10"	986	1498
"SPDEF"	0	0
"C6orf106"	29	25
"AL451165.2"	18	11
"SNRPC"	149	171
"UHRF1BP1"	4	3
"TAF11"	72	44
"ANKS1A"	12	20
"TCP11"	1	1
"SCUBE3"	0	0
"Z97832.2"	0	0
"ZNF76"	15	15
"DEF6"	27	26
"PPARD"	7	4
"FANCE"	27	30
"RPL10A"	6638	6121
"TEAD3"	36	24
"FKBP5"	66	96
"ARMC12"	3	1
"SRPK1"	77	85
"MAPK14"	27	34
"MAPK13"	176	213
"Z84485.1"	1	3
"BRPF3"	8	9
"PNPLA1"	2	1
"ETV7"	17	17
"PXT1"	1	0
"KCTD20"	40	27
"STK38"	18	9
"SRSF3"	593	703
"CDKN1A"	382	114
"RAB44"	2	0
"CPNE5"	1	0
"PPIL1"	18	35
"C6orf89"	45	40
"PI16"	4	1
"MTCH1"	220	219
"FGD2"	4	2
"PIM1"	71	52
"TMEM217"	3	0
"TBC1D22B"	6	7
"RNF8"	59	40
"CMTR1"	8	13
"CCDC167"	45	39
"MDGA1"	5	9
"ZFAND3"	50	30
"BTBD9"	9	7
"GLO1"	138	141
"SAYSD1"	27	24
"KCNK5"	3	0
"KIF6"	0	0
"DAAM2"	1	0
"AL590999.1"	0	0
"MOCS1"	1	1
"TDRG1"	0	0
"UNC5CL"	1	1
"OARD1"	60	76
"NFYA"	8	4
"TREML1"	0	0
"TREM2"	4	0
"TREM1"	0	0
"FOXP4-AS1"	0	0
"FOXP4"	5	8
"MDFI"	25	8
"TFEB"	17	20
"FRS3"	3	1
"AL365205.1"	2	1
"USP49"	7	6
"MED20"	4	14
"BYSL"	33	22
"CCND3"	38	49
"TAF8"	20	18
"AL512274.1"	27	7
"C6orf132"	91	38
"GUCA1B"	0	1
"MRPS10"	75	70
"TRERF1"	16	21
"UBR2"	51	38
"PRPH2"	0	0
"TBCC"	54	83
"BICRAL"	14	7
"RPL7L1"	131	149
"C6orf226"	45	54
"CNPY3"	34	34
"AL035587.1"	1	1
"GNMT"	0	1
"PEX6"	17	46
"PPP2R5D"	16	9
"MEA1"	91	81
"KLHDC3"	41	50
"RRP36"	53	58
"AL136304.1"	2	1
"CUL7"	5	3
"KLC4"	11	17
"MRPL2"	85	74
"PTK7"	40	34
"SRF"	35	23
"CUL9"	16	12
"AL133375.1"	0	0
"DNPH1"	175	147
"CRIP3"	0	0
"ZNF318"	15	14
"ABCC10"	10	2
"DLK2"	68	50
"TJAP1"	21	15
"LRRC73"	3	0
"POLR1C"	40	41
"YIPF3"	83	106
"AL355802.2"	1	1
"XPO5"	17	10
"POLH"	14	20
"POLH-AS1"	0	0
"GTPBP2"	7	13
"MAD2L1BP"	21	35
"RSPH9"	0	0
"MRPS18A"	43	43
"VEGFA"	63	25
"MRPL14"	148	171
"TMEM63B"	6	9
"CAPN11"	1	1
"MYMX"	0	0
"SLC29A1"	26	38
"HSP90AB1"	3289	2380
"SLC35B2"	44	24
"NFKBIE"	5	10
"TCTE1"	1	0
"AARS2"	6	7
"CDC5L"	120	97
"SUPT3H"	3	5
"RUNX2"	0	0
"AL096865.1"	0	0
"CLIC5"	0	0
"AL035701.1"	0	0
"ENPP4"	1	0
"ENPP5"	0	0
"RCAN2"	2	0
"CYP39A1"	24	6
"SLC25A27"	3	3
"TDRD6"	0	2
"PLA2G7"	0	0
"ADGRF5"	0	0
"ADGRF1"	0	0
"TNFRSF21"	1	1
"AL355353.1"	2	4
"CD2AP"	58	58
"ADGRF2"	0	0
"ADGRF4"	4	0
"MUT"	46	65
"CENPQ"	32	35
"C6orf141"	13	15
"RHAG"	0	0
"CRISP2"	0	0
"CRISP3"	0	0
"TFAP2B"	42	53
"IL17A"	0	0
"MCM3"	88	155
"PAQR8"	1	1
"EFHC1"	38	61
"TRAM2"	9	11
"TRAM2-AS1"	5	13
"TMEM14A"	39	57
"GSTA3"	4	2
"GSTA4"	78	85
"ICK"	47	28
"FBXO9"	66	77
"ELOVL5"	12	8
"GCLC"	63	84
"LINC01564"	2	5
"KLHL31"	1	2
"LRRC1"	46	36
"MLIP"	0	1
"AL033384.1"	11	15
"AL512363.1"	0	0
"FAM83B"	49	25
"HMGCLL1"	0	0
"BMP5"	0	0
"COL21A1"	19	28
"DST"	2401	1943
"BEND6"	3	0
"KIAA1586"	26	20
"ZNF451"	46	34
"ZNF451-AS1"	0	0
"BAG2"	3	1
"RAB23"	15	17
"PRIM2"	26	29
"AL021368.3"	2	0
"AL021368.1"	0	0
"AL021368.2"	12	15
"AL445250.1"	0	0
"FKBP1C"	1	0
"PTP4A1"	157	104
"AL135905.1"	5	7
"PHF3"	138	146
"EYS"	0	0
"AL391807.1"	0	0
"ADGRB3"	0	0
"LMBRD1"	30	29
"AL365226.2"	1	3
"AL365226.1"	1	1
"FAM135A"	26	22
"SDHAF4"	20	11
"SMAP1"	120	77
"B3GAT2"	6	3
"OGFRL1"	68	87
"LINC00472"	0	0
"RIMS1"	0	0
"KCNQ5"	0	0
"KHDC1L"	0	0
"KHDC1"	0	5
"AC019205.1"	31	20
"OOEP"	2	6
"DDX43"	4	7
"CGAS"	5	5
"MTO1"	23	27
"AL603910.1"	0	1
"EEF1A1"	25005	21190
"SLC17A5"	5	4
"AL590428.1"	1	3
"CD109"	79	58
"AL357507.1"	0	0
"AL356277.3"	3	3
"COL12A1"	15	10
"COX7A2"	731	498
"TMEM30A"	54	50
"AL080250.1"	1	1
"FILIP1"	2	1
"SENP6"	107	114
"MYO6"	67	48
"IRAK1BP1"	30	18
"PHIP"	129	128
"HMGN3"	356	288
"HMGN3-AS1"	1	5
"LCA5"	5	1
"AL451064.1"	0	0
"SH3BGRL2"	1	0
"ELOVL4"	9	8
"TTK"	34	48
"BCKDHB"	22	28
"AL359715.3"	1	1
"AL359715.2"	0	0
"TENT5A"	132	128
"LINC02542"	1	2
"IBTK"	39	45
"TPBG"	90	72
"UBE3D"	6	6
"DOPEY1"	31	14
"PGM3"	31	47
"RWDD2A"	3	5
"ME1"	2	1
"PRSS35"	0	0
"RIPPLY2"	0	0
"CYB5R4"	16	18
"MRAP2"	1	4
"CEP162"	14	23
"LINC01611"	0	0
"TBX18"	2	0
"NT5E"	3	2
"SNX14"	26	26
"AL589666.1"	1	0
"SYNCRIP"	302	240
"AL139274.2"	4	6
"ZNF292"	159	127
"GJB7"	2	2
"SMIM8"	29	38
"C6orf163"	1	1
"SLC35A1"	14	21
"RARS2"	54	48
"ORC3"	39	35
"AKIRIN2"	33	20
"CNR1"	0	2
"RNGTT"	22	14
"AL353135.1"	0	0
"PNRC1"	990	688
"SRSF12"	1	2
"PM20D2"	33	45
"UBE2J1"	43	41
"RRAGD"	26	23
"ANKRD6"	4	0
"LYRM2"	95	96
"MDN1"	31	13
"CASP8AP2"	78	58
"BACH2"	7	6
"MAP3K7"	42	32
"MANEA-DT"	4	10
"MANEA"	18	26
"UFL1"	117	118
"FHL5"	0	0
"GPR63"	0	0
"NDUFAF4"	57	35
"MMS22L"	22	26
"FBXL4"	17	22
"FAXC"	0	0
"COQ3"	31	50
"PNISR"	290	407
"AL513550.1"	4	0
"USP45"	10	11
"TSTD3"	3	4
"CCNC"	104	115
"AL137784.2"	0	0
"SIM1"	0	0
"ASCC3"	73	45
"AL133338.1"	3	9
"GRIK2"	4	2
"HACE1"	13	8
"BVES"	0	1
"BVES-AS1"	0	0
"AL133406.3"	0	0
"PREP"	20	43
"ATG5"	56	52
"PRDM1"	4	2
"CRYBG1"	46	67
"RTN4IP1"	7	4
"QRSL1"	14	16
"CD24"	7	5
"C6orf203"	36	31
"BEND3"	3	0
"PDSS2"	35	24
"SOBP"	1	1
"SCML4"	0	1
"SEC63"	109	109
"AL024507.2"	5	4
"Z98200.1"	0	0
"OSTM1"	24	21
"SNX3"	390	372
"AFG1L"	1	3
"FOXO3"	56	40
"ARMC2"	6	2
"SESN1"	18	58
"AL390208.1"	0	0
"CEP57L1"	35	25
"CD164"	189	247
"AL359711.2"	3	5
"PPIL6"	3	4
"SMPD2"	17	25
"MICAL1"	2	3
"ZBTB24"	40	33
"AK9"	17	5
"FIG4"	10	10
"WASF1"	8	6
"CDC40"	95	76
"METTL24"	0	0
"DDO"	0	0
"SLC22A16"	1	0
"CDK19"	32	27
"AMD1"	367	171
"GTF3C6"	147	124
"RPF2"	117	71
"SLC16A10"	18	25
"MFSD4B"	16	14
"AL080317.1"	0	3
"AL080317.2"	2	0
"REV3L"	70	55
"AL080317.3"	0	4
"TRAF3IP2-AS1"	7	7
"TRAF3IP2"	52	42
"Z97989.1"	0	0
"FYN"	7	3
"WISP3"	2	4
"TUBE1"	34	30
"FAM229B"	17	19
"LAMA4"	16	9
"Z99289.1"	0	0
"Z99289.3"	1	0
"LINC02518"	2	1
"LINC02541"	20	6
"MARCKS"	404	401
"HDAC2"	120	104
"HDAC2-AS2"	1	1
"HS3ST5"	4	9
"FRK"	3	5
"NT5DC1"	105	140
"COL10A1"	0	1
"TSPYL4"	14	9
"DSE"	74	60
"TSPYL1"	109	134
"CALHM6"	1	0
"TRAPPC3L"	0	0
"CALHM5"	0	0
"RWDD1"	357	298
"RSPH4A"	0	0
"ZUP1"	25	21
"KPNA5"	20	18
"FAM162B"	1	0
"VGLL2"	0	0
"DCBLD1"	9	5
"GOPC"	113	104
"NUS1"	18	25
"SLC35F1"	0	0
"CEP85L"	7	8
"PLN"	3	1
"MCM9"	12	14
"ASF1A"	87	73
"AL365275.1"	1	1
"FAM184A"	7	13
"MAN1A1"	23	18
"TBC1D32"	13	10
"GJA1"	156	133
"HSF2"	65	47
"SERINC1"	55	55
"PKIB"	53	79
"FABP7"	43	58
"SMPDL3A"	120	135
"CLVS2"	0	0
"TRDN"	0	0
"RNF217-AS1"	2	2
"RNF217"	52	44
"TPD52L1"	53	51
"HDDC2"	139	131
"AL450332.1"	0	0
"AL365259.1"	0	0
"HEY2"	2	2
"NCOA7"	139	29
"HINT3"	31	31
"TRMT11"	21	24
"CENPW"	225	229
"RSPO3"	0	0
"RNF146"	45	46
"ECHDC1"	67	84
"AL096711.2"	0	0
"KIAA0408"	0	0
"THEMIS"	0	0
"PTPRK"	22	28
"LAMA2"	5	0
"AL356124.1"	0	0
"ARHGAP18"	32	25
"TMEM244"	0	0
"L3MBTL3"	7	17
"SAMD3"	0	0
"TMEM200A"	2	1
"EPB41L2"	39	19
"AKAP7"	18	18
"ARG1"	0	0
